temp,dwpt,rhum,prcp,wspd,top5_count,manufacturer
15.0,13.4,90.0,0.8,14.8,2,Toyota
23.0,14.0,57.0,0.0,0.0,3,Toyota
20.0,17.8,87.0,0.0,11.2,0,Toyota
28.3,18.4,55.0,0.0,14.8,1,Toyota
31.0,8.1,24.0,0.0,18.4,1,Toyota
26.1,22.8,82.0,0.0,9.4,0,Toyota
27.8,22.7,74.0,0.0,13.0,2,Toyota
26.7,16.0,52.0,0.0,5.4,2,Toyota
31.1,23.2,63.0,0.0,9.4,1,Toyota
20.6,19.9,96.0,9.1,11.2,2,Toyota
25.0,12.2,45.0,0.0,11.2,3,Toyota
23.9,22.2,90.0,0.0,11.2,1,Toyota
23.9,21.8,88.0,0.0,5.4,2,Toyota
30.6,24.0,68.0,0.0,0.0,1,Toyota
23.6,15.1,59.0,0.0,13.0,3,Toyota
12.2,2.1,50.0,0.0,5.4,3,Toyota
10.0,0.0,50.0,0.0,27.7,1,Toyota
19.0,17.0,88.0,0.0,20.5,0,Toyota
23.3,18.4,74.0,0.0,18.4,3,Toyota
12.2,0.0,43.0,0.0,0.0,1,Toyota
18.4,12.2,67.0,0.0,5.4,1,Toyota
18.3,10.6,61.0,0.0,5.4,1,Toyota
27.3,2.4,20.0,0.0,7.6,1,Toyota
23.1,18.8,77.0,0.0,5.4,2,Toyota
23.3,16.1,64.0,0.0,9.4,0,Toyota
13.0,0.0,41.0,0.0,5.4,1,Toyota
27.0,0.7,18.0,0.0,0.0,2,Toyota
33.0,2.0,14.0,0.0,0.0,4,Toyota
20.0,10.1,53.0,0.0,16.6,1,Toyota
15.7,5.6,51.0,0.0,7.6,1,Toyota
25.6,15.6,54.0,0.0,31.7,1,Toyota
9.0,8.1,94.0,4.6,11.0,2,Toyota
25.6,21.7,79.0,0.0,11.2,0,Toyota
22.8,6.5,35.0,0.0,20.5,3,Toyota
22.8,5.7,33.0,0.0,18.4,3,Toyota
28.0,18.1,55.0,0.0,0.0,1,Toyota
21.7,0.8,25.0,0.0,11.2,1,Toyota
21.1,15.6,71.0,0.0,7.6,3,Toyota
28.3,17.8,53.0,0.0,13.0,4,Toyota
24.0,12.9,50.0,0.0,20.5,2,Toyota
25.0,24.0,94.0,0.0,0.0,4,Toyota
28.3,21.6,67.0,0.0,16.6,3,Toyota
25.0,17.2,62.0,0.0,11.2,1,Toyota
28.3,23.2,74.0,0.0,0.0,2,Toyota
18.3,8.8,54.0,0.0,16.6,3,Toyota
18.9,11.2,61.0,0.0,13.0,2,Toyota
21.7,15.5,68.0,0.0,5.4,1,Toyota
24.4,21.7,85.0,0.0,5.4,0,Toyota
20.0,16.6,81.0,0.0,7.6,2,Toyota
24.8,17.5,64.0,0.0,5.4,2,Toyota
20.0,16.6,81.0,0.0,0.0,3,Toyota
7.2,5.0,86.0,0.0,25.9,3,Toyota
21.0,20.0,94.0,0.0,0.0,2,Toyota
22.1,19.6,86.0,0.0,9.4,1,Toyota
23.9,19.0,74.0,0.2,11.2,1,Toyota
14.7,14.1,96.0,0.0,0.0,1,Toyota
27.8,18.2,56.0,0.0,13.0,0,Toyota
28.0,0.7,17.0,0.0,0.0,1,Toyota
22.7,21.9,95.0,0.0,5.4,1,Toyota
22.8,16.1,66.0,0.0,5.4,1,Toyota
25.0,12.9,47.0,0.0,5.4,0,Toyota
16.9,-0.8,30.0,0.0,25.9,2,Toyota
14.4,1.0,40.0,0.0,25.9,3,Toyota
7.1,-4.0,45.0,0.0,7.6,2,Toyota
6.1,-0.6,62.0,0.0,18.4,1,Toyota
14.4,-3.9,28.0,0.0,11.2,2,Toyota
24.1,6.4,32.0,0.0,9.4,2,Toyota
1.7,-1.7,78.0,0.0,38.9,2,Toyota
28.9,16.8,48.0,0.0,25.9,2,Toyota
27.0,21.1,70.0,0.0,0.0,2,Toyota
20.0,17.8,87.0,0.0,22.3,3,Toyota
19.4,18.2,93.0,0.3,14.8,4,Toyota
37.0,11.1,21.0,0.0,14.8,1,Toyota
