dirt track,paved track,road course,temp,dwpt,rhum,prcp,wspd,miles_completed,Chevrolet_fieldcount,Ford_fieldcount,Toyota_fieldcount,top5_count,manufacturer
0,1,0,22.0,-13.8,8.0,0.0,11.2,516.0400000000001,16,12,13,1,Toyota
0,1,0,22.2,-8.6,12.0,0.0,13.0,502.6880000000001,16,11,14,3,Toyota
0,1,0,20.6,8.3,45.0,0.0,13.0,400.0,17,11,13,1,Toyota
0,1,0,19.0,11.1,60.0,0.0,0.0,400.0,18,11,12,3,Toyota
0,1,0,24.4,17.9,67.0,0.0,20.5,400.0,17,12,12,0,Toyota
0,0,1,20.0,4.5,36.0,0.0,13.0,222.88,16,12,12,2,Toyota
0,1,0,17.2,-3.0,25.0,0.0,13.0,400.5,17,12,12,1,Toyota
0,1,0,28.9,20.1,59.0,0.0,5.4,400.0,17,12,12,1,Toyota
0,1,0,22.0,12.0,53.0,0.0,5.4,318.458,17,12,12,2,Toyota
0,1,0,28.0,18.1,55.0,0.0,0.0,312.0,17,11,12,1,Toyota
0,1,0,9.0,-0.9,50.0,0.0,22.3,400.0,17,13,11,1,Toyota
0,1,0,19.4,13.3,68.0,0.0,13.0,245.0,17,11,13,1,Toyota
0,0,1,28.3,16.2,48.0,0.0,18.4,220.50000000000003,16,12,13,1,Toyota
0,1,0,20.0,7.0,43.0,0.0,25.9,402.0,16,13,12,0,Toyota
0,1,0,28.3,18.4,55.0,0.0,9.4,266.5,17,11,13,2,Toyota
0,1,0,27.2,21.7,72.0,0.0,13.0,503.58,17,11,13,2,Toyota
0,1,0,27.2,18.2,58.0,0.0,0.0,300.0,18,11,12,2,Toyota
0,1,0,27.2,12.8,41.0,0.0,11.2,400.5,16,13,12,1,Toyota
0,1,0,23.3,18.8,76.0,0.0,9.4,317.40000000000003,18,12,11,2,Toyota
0,1,0,22.2,12.7,55.0,0.0,18.4,400.0,17,13,11,1,Toyota
0,1,0,21.1,7.7,42.0,0.0,0.0,400.5,16,13,12,0,Toyota
0,1,0,21.0,17.0,78.0,1.5,7.6,502.74,16,12,13,1,Toyota
0,1,0,28.0,21.1,66.0,0.0,0.0,501.0,16,13,12,3,Toyota
0,1,0,29.4,22.1,65.0,0.0,14.8,400.5,16,13,12,1,Toyota
0,1,0,20.5,2.8,31.0,0.0,9.4,263.0,18,12,11,2,Toyota
0,1,0,17.8,15.1,84.0,0.0,9.4,502.5,16,13,12,1,Toyota
0,1,0,4.0,1.0,81.0,0.0,9.4,319.0,17,12,12,2,Toyota
0,1,0,16.7,13.2,80.0,0.0,7.6,400.5,17,13,11,2,Toyota
0,1,0,20.0,13.2,65.0,0.0,0.0,266.5,18,11,12,3,Toyota
0,1,0,17.8,4.4,41.0,0.0,7.6,258.0,19,11,11,1,Toyota
0,1,0,17.2,11.9,71.0,0.0,5.4,270.89,18,11,12,1,Toyota
0,1,0,22.8,11.2,48.0,0.0,11.2,501.0,17,13,11,1,Toyota
0,1,0,14.8,-3.1,29.0,0.0,24.1,400.5,16,11,13,2,Toyota
0,1,0,22.8,18.8,78.0,0.0,11.2,300.0,17,12,12,2,Toyota
0,1,0,25.6,15.6,54.0,0.0,11.2,500.0,17,15,11,1,Toyota
