temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,date,rain_binary,location
20.6,10.7,53.0,0.0,220.0,9.4,1021.1,No Rain,2002-04-14,False, Martinsville
27.2,18.2,58.0,0.0,240.0,7.6,1013.5,No Rain,2002-04-21,False, Talladega
15.6,8.8,64.0,0.0,240.0,14.8,1017.7,No Rain,2002-04-28,False, California (Auto Club)
19.4,18.9,97.0,9.9,210.0,29.5,1003.8,Heavy Rain,2002-04-08,True, Texas
26.1,14.6,49.0,0.0,200.0,5.4,1016.5,No Rain,2002-05-26,False, Charlotte
11.1,9.4,89.0,0.5,350.0,5.4,1025.7,Light Rain,2002-05-05,True, Richmond
22.2,9.0,43.0,0.0,270.0,18.7,1004.4,No Rain,2002-06-16,False, Michigan
26.7,16.0,52.0,0.0,240.0,9.4,1003.2,No Rain,2002-06-02,False, Dover
14.4,10.6,78.0,0.0,250.0,35.3,1020.4,No Rain,2002-06-23,False, Sonoma
20.0,12.3,61.0,0.0,190.0,11.2,1022.0,No Rain,2002-06-09,False, Pocono
26.0,8.0,32.0,0.0,40.0,14.8,1014.0,No Rain,2002-07-14,False, Chicagoland
21.7,17.3,76.0,0.0,150.0,14.8,1016.7,No Rain,2002-07-21,False, New Hampshire
25.0,20.7,77.0,0.0,150.0,9.4,1013.9,No Rain,2002-07-28,False, Pocono
23.9,22.9,94.0,0.0,180.0,7.6,1016.2,No Rain,2002-07-06,False, Daytona
28.9,21.2,63.0,0.0,220.0,14.8,1010.9,No Rain,2002-08-18,False, Michigan
29.4,21.6,63.0,0.0,210.0,5.4,1013.9,No Rain,2002-08-24,False, Bristol
32.2,22.9,58.0,0.0,330.0,9.4,1019.2,No Rain,2002-08-04,False, Indianapolis
21.7,21.0,96.0,0.5,20.0,14.8,1022.8,Light Rain,2002-09-01,True, Darlington
18.9,15.6,81.0,0.0,,0.0,1020.2,No Rain,2002-09-15,False, New Hampshire
