"season","race","site","track","track_length","track_type","laps","driver_finish_1","driver_finish_2","driver_finish_3","driver_finish_4","driver_finish_5","manufacturer_finish_1","manufacturer_finish_2","manufacturer_finish_3","manufacturer_finish_4","manufacturer_finish_5","avg_pos_swap","Chevrolet_fieldcount","Ford_fieldcount","Oldsmobile_fieldcount","Pontiac_fieldcount","Buick_fieldcount","Dodge_fieldcount","Toyota_fieldcount","total_fieldcount"
1994,29,"Rockingham","North Carolina Motor Speedway",1.017,"paved track",492,"Dale Earnhardt","Rick Mast","Morgan Shepherd","Ricky Rudd","Terry Labonte","Chevrolet","Ford","Ford","Ford","Chevrolet",13.7142857142857,15,22,0,5,0,0,0,42
1994,3,"Richmond","Richmond International Raceway",0.75,"paved track",400,"Ernie Irvan","Rusty Wallace","Jeff Gordon","Dale Earnhardt","Kyle Petty","Ford","Ford","Chevrolet","Chevrolet","Pontiac",10.3783783783784,13,20,0,4,0,0,0,37
1994,30,"Phoenix","Phoenix International Raceway",1,"paved track",312,"Terry Labonte","Mark Martin","Sterling Marlin","Jeff Gordon","Ted Musgrave","Chevrolet","Ford","Chevrolet","Chevrolet","Ford",10.2325581395349,17,21,0,5,0,0,0,43
1994,31,"Atlanta","Atlanta Motor Speedway",1.522,"paved track",328,"Mark Martin","Dale Earnhardt","Todd Bodine","Lake Speed","Mike Wallace","Ford","Chevrolet","Ford","Ford","Ford",15.0697674418605,12,26,0,5,0,0,0,43
1994,4,"Atlanta","Atlanta Motor Speedway",1.522,"paved track",328,"Ernie Irvan","Morgan Shepherd","Darrell Waltrip","Jeff Burton","Mark Martin","Ford","Ford","Chevrolet","Ford","Ford",14.3333333333333,15,23,0,4,0,0,0,42
1994,5,"Darlington","Darlington Raceway",1.366,"paved track",293,"Dale Earnhardt","Mark Martin","Bill Elliott","Dale Jarrett","Lake Speed","Chevrolet","Ford","Ford","Chevrolet","Ford",12.5853658536585,14,22,0,5,0,0,0,41
1994,6,"Bristol","Bristol International Raceway",0.533,"paved track",500,"Dale Earnhardt","Ken Schrader","Lake Speed","Geoffrey Bodine","Michael Waltrip","Chevrolet","Chevrolet","Ford","Ford","Pontiac",13.4594594594595,13,19,0,5,0,0,0,37
1994,7,"North Wilkesboro","North Wilkesboro Speedway",0.625,"paved track",400,"Terry Labonte","Rusty Wallace","Ernie Irvan","Kyle Petty","Dale Earnhardt","Chevrolet","Ford","Ford","Pontiac","Chevrolet",10.7777777777778,11,20,0,5,0,0,0,36
1994,8,"Martinsville","Martinsville Speedway",0.526,"paved track",500,"Rusty Wallace","Ernie Irvan","Mark Martin","Darrell Waltrip","Morgan Shepherd","Ford","Ford","Ford","Chevrolet","Ford",10.4444444444444,12,20,0,4,0,0,0,36
1994,9,"Talladega","Talladega Superspeedway",2.66,"paved track",188,"Dale Earnhardt","Ernie Irvan","Michael Waltrip","Jimmy Spencer","Ken Schrader","Chevrolet","Ford","Pontiac","Ford","Chevrolet",9.09523809523809,14,23,0,5,0,0,0,42
1995,1,"Daytona","Daytona International Speedway",2.5,"paved track",200,"Sterling Marlin","Dale Earnhardt","Mark Martin","Ted Musgrave","Dale Jarrett","Chevrolet","Chevrolet","Ford","Ford","Ford",9.71428571428571,14,24,0,4,0,0,0,42
1995,10,"Sonoma","Sears Point Raceway",2.52,"road course",74,"Dale Earnhardt","Mark Martin","Jeff Gordon","Ricky Rudd","Terry Labonte","Chevrolet","Ford","Chevrolet","Ford","Chevrolet",9.72093023255814,15,23,0,5,0,0,0,43
1995,11,"Charlotte","Charlotte Motor Speedway",1.5,"paved track",400,"Bobby Labonte","Terry Labonte","Michael Waltrip","Sterling Marlin","Ricky Rudd","Chevrolet","Chevrolet","Pontiac","Chevrolet","Ford",12.1428571428571,14,24,0,4,0,0,0,42
1995,12,"Dover","Dover Downs International Speedway",1,"paved track",500,"Kyle Petty","Bobby Labonte","Ted Musgrave","Hut Stricklin","Dale Earnhardt","Pontiac","Chevrolet","Ford","Ford","Chevrolet",13.7619047619048,14,23,0,5,0,0,0,42
1995,13,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Terry Labonte","Ted Musgrave","Ken Schrader","Sterling Marlin","Hut Stricklin","Chevrolet","Ford","Chevrolet","Chevrolet","Ford",10.8571428571429,14,23,0,5,0,0,0,42
1995,14,"Michigan","Michigan International Speedway",2,"paved track",200,"Bobby Labonte","Jeff Gordon","Rusty Wallace","John Andretti","Morgan Shepherd","Chevrolet","Chevrolet","Ford","Ford","Ford",11.2380952380952,15,23,0,4,0,0,0,42
1995,15,"Daytona","Daytona International Speedway",2.5,"paved track",160,"Jeff Gordon","Sterling Marlin","Dale Earnhardt","Mark Martin","Ted Musgrave","Chevrolet","Chevrolet","Chevrolet","Ford","Ford",10.8372093023256,15,23,0,5,0,0,0,43
1995,16,"Loudon","New Hampshire International Speedway",1.058,"paved track",300,"Jeff Gordon","Morgan Shepherd","Mark Martin","Terry Labonte","Ricky Rudd","Chevrolet","Ford","Ford","Chevrolet","Ford",10.6341463414634,14,22,0,5,0,0,0,41
1995,17,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Dale Jarrett","Jeff Gordon","Ricky Rudd","Ted Musgrave","Bill Elliott","Ford","Chevrolet","Ford","Ford","Ford",10.7317073170732,13,23,0,5,0,0,0,41
